Date,RANK,Provider Quotes,Premium,Occ Class,Deferred Period,PaymentTerm,ProviderApplications,womApplications
2023-01-02 00:00:00,1,0,Age-Costed,52+,2,2-Year,0,0
2023-01-02 00:00:00,1,0,Age-Costed,52+,3,2-Year,0,0
2023-01-02 00:00:00,1,0,Age-Costed,52+,3,Full,0,0
2023-01-02 00:00:00,1,0,Age-Costed,52+,4,Full,0,0
2023-01-02 00:00:00,1,0,Age-Costed,8,2,2-Year,0,0
2023-01-02 00:00:00,1,0,Age-Costed,8,2,Full,0,0
2023-01-02 00:00:00,1,0,Level,13,2,2-Year,0,4
2023-01-02 00:00:00,1,0,Level,26,2,2-Year,0,0
2023-01-02 00:00:00,1,0,Level,26,3,2-Year,0,2
2023-01-02 00:00:00,1,0,Level,26,4,2-Year,0,2
2023-01-02 00:00:00,1,0,Level,4,2,2-Year,0,2
2023-01-02 00:00:00,1,0,Level,52+,1,2-Year,0,0
2023-01-02 00:00:00,1,0,Level,52+,2,2-Year,0,0
2023-01-02 00:00:00,1,0,Level,52+,3,2-Year,0,0
2023-01-02 00:00:00,1,0,Level,52+,4,2-Year,0,0
2023-01-02 00:00:00,1,0,Level,52+,4,Full,0,0
2023-01-02 00:00:00,1,0,Level,8,2,2-Year,0,2
2023-01-02 00:00:00,1,0,Level,8,2,Full,0,2
2023-01-02 00:00:00,1,0,Level,8,3,2-Year,0,0
2023-01-02 00:00:00,1,1,Age-Costed,13,3,2-Year,0,0
2023-01-02 00:00:00,1,1,Age-Costed,26,4,2-Year,0,0
2023-01-02 00:00:00,1,1,Age-Costed,52+,4,2-Year,0,0
2023-01-02 00:00:00,1,1,Level,13,3,2-Year,0,0
2023-01-02 00:00:00,1,2,Age-Costed,4,2,2-Year,0,0
2023-01-02 00:00:00,1,2,Level,4,1,2-Year,0,2
2023-01-02 00:00:00,1,2,Level,52+,2,Full,0,0
2023-01-02 00:00:00,1,3,Age-Costed,0-1,2,Full,0,0
2023-01-02 00:00:00,1,3,Age-Costed,13,2,2-Year,0,0
2023-01-02 00:00:00,1,3,Age-Costed,8,3,Full,0,0
2023-01-02 00:00:00,1,3,Level,26,1,2-Year,0,0
2023-01-02 00:00:00,1,3,Level,8,1,2-Year,0,0
2023-01-02 00:00:00,1,4,Age-Costed,0-1,2,2-Year,0,0
2023-01-02 00:00:00,1,4,Age-Costed,13,4,2-Year,0,0
2023-01-02 00:00:00,1,4,Age-Costed,13,4,Full,0,0
2023-01-02 00:00:00,1,4,Age-Costed,26,4,Full,0,0
2023-01-02 00:00:00,1,4,Age-Costed,8,4,Full,0,0
2023-01-02 00:00:00,1,4,Level,13,4,2-Year,2,2
2023-01-02 00:00:00,1,4,Level,26,2,Full,0,6
2023-01-02 00:00:00,1,4,Level,8,4,2-Year,0,0
2023-01-02 00:00:00,1,5,Age-Costed,26,3,2-Year,0,0
2023-01-02 00:00:00,1,5,Level,4,2,Full,0,0
2023-01-02 00:00:00,1,5,Level,8,3,Full,0,0
2023-01-02 00:00:00,1,6,Age-Costed,4,3,2-Year,0,6
2023-01-02 00:00:00,1,6,Level,13,2,Full,0,0
2023-01-02 00:00:00,1,6,Level,13,4,Full,0,0
2023-01-02 00:00:00,1,6,Level,26,4,Full,0,0
2023-01-02 00:00:00,1,7,Age-Costed,26,2,2-Year,0,0
2023-01-02 00:00:00,1,7,Age-Costed,52+,2,Full,0,0
2023-01-02 00:00:00,1,7,Level,4,3,2-Year,0,0
2023-01-02 00:00:00,1,7,Level,8,4,Full,0,0
2023-01-02 00:00:00,1,8,Age-Costed,26,3,Full,0,0
2023-01-02 00:00:00,1,8,Level,13,1,2-Year,0,4
2023-01-02 00:00:00,1,9,Level,52+,1,Full,0,4
2023-01-02 00:00:00,1,9,Level,8,1,Full,0,0
2023-01-02 00:00:00,1,10,Age-Costed,13,3,Full,0,0
2023-01-02 00:00:00,1,10,Age-Costed,8,3,2-Year,0,0
2023-01-02 00:00:00,1,10,Age-Costed,8,4,2-Year,0,0
